baidu,百度
定价,订价
定居,假寓
定例,定规
定名,命名
定命,定数
定命,天命
定期,按期
定期,活期
定亲,订婚
定胜败,分高下
定时,按时
定时,守时
定时,准时
定数,定命
定义,界说
定阅,订阅
定则,定章
定章,定则
定罪,科罪
定罪,入罪
铤而走险,逼上梁山
铤而走险,官逼民反
丢魂失魄,慌慌张张
丢魂失魄,魂不附体
丢魂失魄,失魂落魄
丢盔弃甲,落花流水
丢脸,难看
丢弃,抛弃
丢三拉四,丢三落四
丢三落四,丢三拉四
丢失,丧失
东北,西南
东奔西走,到处奔跑
东床,半子
东倒西歪,井井有条
东倒西歪,七颠八倒
东方,西方
东风,春风
东风,西风
东家,店主
东南,西北
东山再起,死灰复然
东西,工具
东西,器材
东西,器械
东洋,东瀛
东洋,西洋
东瀛,东洋
冬风,北风
冬烘,腐儒
冬季,夏季
冬眠,蛰伏
冬日,冬季
冬天,冬季
冬衣,寒衣
懂得,理解
懂得,晓得
动弹,转动
动荡,动乱
动工,开工
动机,念头
动静,动态
动静,消息
动乱,骚动
动乱,骚乱
动怒,起火
动怒,息怒
动人,动听
动人,感人
动人肺腑,感人心曲
动人心魄,扣人心弦
动身,出发
动身,解缆
动身,开航
动身,启碇
动身,启航
动身,起程
动手,入手
动手,脱手
动手,下手
动手,着手
动态,静态
动听,动人
动听,入耳
动听,悦耳
动物,植物
动向,意向
动摇,摆荡
动摇,坚定
动摇,摇动
动员,带动
动员,发动
动辄得咎,跋前踬后
动作,举措
冻结,解冻
洞居,穴居
洞开,敞开
洞若观火,管窥蠡测
洞若观火,了如指掌
洞穴,洞窟
洞穴,窟窿
洞烛奸邪,明镜高悬
恫吓,恐吓
恫吓,威吓
都城,国都
都城,京城
都城,首都
都会,城市
都会,都邑
都门,毂下
都门,京都
都门,京师
都市,都会
都雅,雅观
兜售,兜销
兜销,兜售
抖动,颤动
抖动,发抖
抖擞,奋起
抖擞,感奋
抖擞,焕发
抖擞,振作
抖擞精神,磨砺以须
陡峭,峻峭
斗胆,大胆
斗胆勇敢,大胆
斗极,北斗
斗丽,争艳
斗南一人,旷世一人
斗篷,大氅
斗趣儿,逗趣儿
斗室,小房
斗粟囊金,米珠薪贵
斗争,奋斗
斗争,妥协
斗志昂扬,意气风发
豆浆,豆乳
豆蔻年华,及笄年华
豆剖瓜分,半壁江山
豆乳,豆浆
豆芽,芽菜
逗留,勾留
逗遛,逗留
逗趣儿,斗趣儿
逗引,逗弄
督促,催促
督工,管工
督工,监工
毒草,香花
毒害,迫害
毒酒,鸩酒
毒辣,狠毒
毒品,福寿膏
毒杀,鸩杀
毒手,辣手
独裁,专制
独唱,合唱
独出机杼,别出心裁
独创,首创
独断,专断
独断独行,一意孤行
独断专行,刚愎自用
独断专行,固执己见
独断专行,一意孤行
独角戏,独脚戏
独脚戏,独角戏
独居,茕居
独立,自力
独立国,自主国
独木难支,孤掌难鸣
独木桥,阳关道
独身,单身
独身只身,单身
独树一帜,标新立异
独特,共同
独特,怪异
独特,奇特
独享权益,利益均沾
独一,唯一
独一无二,并世无双
独一无二,举世无双
独一无二,无独有偶
独有,独占
独占,独有
独占鳌头,夺得冠军
独自,单独
独奏,合奏
读书,念书
渎职,尽职
渎职,溺职
渎职,失职
笃信,深信
笃志,埋头
堵截,切断
堵塞,梗塞
赌博,赌钱
赌气,负气
赌钱,打赌
赌咒,发誓
赌咒,矢语
杜绝,根绝
杜康,狂药
杜门不出,闭门不出
杜撰,诬捏
妒忌,吃醋
妒忌,嫉妒
度过,渡过
度量,怀抱
度量,襟怀
度量,器度
度量,器量
度日,过活
度日如年,光阴似箭
渡过,度过
渡水,涉水
蠹虫,蛀虫
端的,真个
端赖,全靠
端倪,眉目
端五,端午
端午,端五
端详,打量
端正,规矩
端正,正直
端住,捧住
端庄,矜重
端庄,肃静严厉
端庄,正经
端庄,庄重
端坐,危坐
短处,长处
短促,急促
短工,长工
短命,短寿
短命,夭折
短跑,长跑
短期,短时间
短缺,充足
短缺,欠缺
短缺,缺乏
短少,缺少
短寿,短折
短途,长途
短暂,长久
断定,判定
断定,判断
断港绝潢,穷途末路
断港绝潢,走头无路
断港绝潢,走投无路
断魂,销魂
断交,决绝
断交,绝交
断绝,隔绝
断绝,隔离
断绝,间断中止
断绝,拒却
断绝往来,不相闻问
断命,毕命
断念,死心
断气,气绝
断然,决然
断然,决然毅然
断送,就义
断送,捐躯
断送,葬送
锻练,教练
锻炼,熬炼
锻炼,锤炼
锻炼,磨炼
锻造,铸造
堆积,聚积
堆栈,仓库
堆栈,货仓
堆栈,货仓旅馆
堆栈,客栈
队伍,步队
队伍,部队
对比,比较
对比,比照
对比,对照
对待,看待
对付,凑合
对付,对于
对换,对调
对抗,对立
对抗,反抗
对抗,匹敌
对立,对峙
对立,统一
对联,春联
对手,敌手
对天长叹,长吁短叹
对调,对换
对头,仇家
对头,仇人
对消,抵消
对弈,棋战
对于,对
对于,关于
对照,对比
对折,半数
对证,对质
对症下药,有的放矢
对质,对证
对峙,对立
对峙,坚持
对峙,僵持
对准,瞄准
敦促,催促
敦厚,刁滑
敦厚,敦朴
敦睦,亲善
敦朴,憨厚
敦朴,老诚
敦实,矮壮
顿挫,抑扬
顿脚,跺脚
顿时,登时
顿时,马上
顿首,稽首
遁词,饰词
遁辞,托辞
遁迹,避难
遁世,豹隐
多财善贾,长袖善舞
多此一举,画蛇添足
多次,屡次
多么,何等
多难,多灾
多如牛毛,不可偻指算
多少,几多
多少,几何
多少,几许
多少,若干
多事生非,好管闲事
多事之秋,艰屯之际
多数,大都
多数,多半
多数,少数
多余,过剩
多灾,多难
咄咄逼人,不可一世
咄咄逼人,盛气凌人
哆嗦,颤抖
哆嗦,发抖
哆嗦,寒战
哆嗦,觳觫
哆嗦,惊怖
夺得冠军,独占鳌头
夺目,精明
夺目,醒目
夺目,耀眼
夺取,篡夺
夺取,攫取
夺取,牟取
夺取,争取
夺职,免职
躲避,遁藏
躲避,规避
躲避,回避
躲避,逃避
躲避,隐匿
躲藏,潜藏
躲债,避债
舵手,梢公
堕泪,流泪
堕落,出错
堕落,腐化
堕落,蜕化
跺脚,顿脚
讹传,谣传
讹诈,敲诈
峨眉山,峨嵋山
峨嵋山,峨眉山
额定,额外
额手称庆,以手加额
额外,额定
厄运,恶运
扼杀,抹杀
扼守,把守
扼守,据守
扼要,简明
扼要,简要
恶毒,狠毒
恶感,反感
恶搞,恶搞
恶贯满盈,罪不容诛
恶棍,无赖
恶行,罪行
恶化,好转
恶疾,顽疾
恶劣,卑劣
恶梦,噩梦
恶妻,泼妇
恶人,善人
恶人得势,歹徒横行
恶相,凶相
恶性难改,怙恶不悛
恶衣恶食,粗衣劣食
恶意,歹意
恶语伤人,出言无状
恶运,厄运
恶兆,凶兆
恶浊,肮脏
遏恶扬善,隐恶扬善
遏止,抑止
愕然,惊诧
噩耗,凶讯
噩梦,恶梦
恩仇,恩怨
恩德,恩义
恩典,恩惠
恩典,膏泽
恩惠,恩德
恩惠,恩情
恩惠膏泽,恩泽
恩将仇报,以怨报德
恩情,恩典
恩情,恩惠
恩怨,恩仇
恩泽,恩惠膏泽
儿歌,童谣
而后,尔后
而后,然后
而且,并且
而已,罢了
尔后,此后
尔后,而后
尔虞我诈,钩心斗角
尔虞我诈,离心离德
耳环,耳饰
耳尖,耳背
耳目,线人
耳濡目染,耳闻目睹
耳濡目染,潜移默化
耳食之闻,道听涂说
耳食之言,以讹传讹
耳饰,耳环
耳提面命,谆谆教诲
耳闻目睹,耳濡目染
耳语,私语
迩来,近来
二、,2、
二八佳人,妙龄少女
二黄,二簧
二簧,二黄
二心,他心
二心,一心
二月,仲春
二者,两者
贰心,二心
贰言,异议
发表,颁发
发表,揭晓
发表,揭橥
发表,宣布
发兵,出兵
发兵,兴兵
发兵,兴师
发病,病发
发布,宣布
发财,发家
发草帖,八字帖
发愁,忧愁
发出,收回
发达,发财
发达,蓬勃
发达,兴旺
发呆,发愣
发动,策动
发动,动员
发动,发起
发抖,颤抖
发抖,颤栗
发抖,抖动
发抖,股栗
发奋,奋发
发奋图强,发扬蹈厉
发奋图强,自强不息
发愤,发奋
发愤,奋发
发愤,立志
发愤,勤苦
发愤图强,卧薪尝胆
发疯,发狂
发还,发回
发行,刊行
发号布令,发号令
发号令,发号布令
发号令,发号施令
发号施令,发号出令
发号施令,颐指气使
发话器,话筒
发慌,发窘
发挥,阐扬
发挥,发扬
发挥,施展
发回,发还
发火点,起火点
发急,焦虑
发急,焦灼
发急,着急
发迹,起家
发觉,觉察
发窘,发慌
发酒疯,撒酒疯
发掘,开掘
发掘,挖掘
发狂,发疯
发楞,发愣
发愣,发呆
发愣,发楞
发蒙,启蒙
发明,创造
发明,发现
发难,举事
发难,起事
发妻,嫡妻
发妻,正室
发起,倡议
发起,创议
发起,建议
发起,提议
发热,发烧
发人深省,发人深醒
发人深省,振聋发聩
发人深醒,发人深省
发轫,发端
发上指冠,怒发冲冠
发烧,发热
发生,产生
发生,发作
发生发火,发作
发誓,赌咒
发誓,立誓
发誓,起誓
发售,出售
发问,提问
发现,发明
发祥,发源
发笑,失笑
发泄,宣泄
发芽,抽芽
发言,讲话
发言,谈话
发源,起源
发展,成长
发展,开展
发作,爆发
发作,发生发火
乏味,有趣
伐鼓,击鼓
伐柯人,媒人
伐毛洗髓,荡垢涤污
伐木,砍木
法宝,宝贝
法场,刑场
法度,法式
法规,律例
法纪,纲纪
法例,法规
法令,法则
法律,法令
法律,功令
法律,司法
法门,秘诀
法式,法度
法式,轨范
法术,神通
法术,术数
法网恢恢,天道好还
法网恢恢,天网恢恢
法眼,高眼
法衣,僧衣
法则,法例
法则,规律
法则,轨则
法子,方法
珐琅,搪瓷
帆船,风帆
帆海,航海
帆樯,帆柱
帆樯,桅竿
帆柱,帆竿
帆柱,帆樯
番薯,甘薯
蕃芜,茂盛
蕃庑,茂盛
蕃殖,繁生
幡然,翻然
翻案,昭雪
翻滚,翻腾
翻江倒海,排山倒海
翻开,掀开
翻然,幡然
翻然悔悟,回心转意
翻腾,翻滚
翻天覆地,天翻地覆
翻戏,老千
翻新,创新
翻译员,传译员
翻云覆雨,朝三暮四
凡夫俗子,伧夫俗人
凡间,尘寰
凡间,尘间
凡间,尘世
凡间,世间
凡人,常人
凡人,伟人
凡是,但凡
凡是有,凡有
凡有,凡是有
烦吵,吵杂
烦闷,沉闷
烦闷,愁闷
烦闷,烦懑
烦闷,纳闷
烦闷,抑郁
烦懑,不快
烦恼,懊恼
烦扰,干扰
烦厌,腻烦
烦躁,焦躁
樊笼,牢笼
繁多,单一
繁华,繁荣
繁华,富贵
繁华,荣华
繁忙,忙碌
繁茂,茂盛
繁难,简易
繁荣,昌盛
繁荣,繁华
繁荣昌盛,繁荣富强
繁荣富强,繁荣昌盛
繁冗,繁杂
繁缛,烦琐
繁生,蕃殖
繁盛,茂盛
繁盛,闹热
繁芜,庞杂
繁言吝啬,尖酸刻薄
繁杂,复杂
繁杂,冗杂
繁殖,繁衍
繁殖,滋生
繁重,沉重
反比,正比
反宾为主,反客为主
反宾为主,雀巢鸠占
反宾为主,太阿倒持
反驳,辩驳
反常,变态
反常,失常
反冲力,后坐力
反唇相讥,反唇相稽
反唇相稽,反唇相讥
反动,革命
反对,否决
反对,支持
反复,频频
反复,重复
反复无常,朝四暮三
反复无常,翻云覆雨
反复无常,反复不定
反感,恶感
反攻,反扑
反攻,抨击
反击,还击
反击,回击
反诘,反问
反抗,抵挡
反抗,抵拒
反抗,对抗
反客为主,反宾为主
反馈,反应
反老回童,回复青春
反面,背面
反面,不和
反目,交恶
反叛,反水
反叛,叛变
反叛,叛逆
反叛,作乱
反璞归真,洗净铅华
反省,检查
反省,检讨
反水,反叛
反水不收,覆水难收
反水不收,泼水难收
反响,反应
反响,回响
反应,反响
反应,反映
反应,回响反映
反映,反应
反照,倒映
反正,归正
反正,横竖
反转展转,回转
返国,归国
返国,回国
返航,出航
返回,前往
返来,归来
返来,归来回头
返来,回来
返来,回来离去
返老还童,老态龙钟
返梢,回销
犯错,出错
犯得上,犯得着
犯得着,犯得上
犯得着,犯的上
犯法,犯罪
犯讳,犯忌
犯忌,犯讳
犯禁,违禁
犯境,入寇
犯人,监犯
犯人,囚犯
犯人,囚徒
犯人,罪人
犯上作乱,大逆不道
犯上作乱,图谋不轨
犯上作乱,图为不轨
犯罪,犯法
犯罪,立功
饭店,饭馆
饭店,饭铺
饭馆,饭店
饭桶,脓包
泛爱,博爱
泛博,广大
泛滥,众多
泛论,畅谈
泛论,总论
泛起,出现
范畴,范围
范畴,领域
范例,典范
范例,典范榜样
范例,规范
范例,类型
范围,规模
范围,局限
贩夫走卒,引车卖浆
贩卖,销售
贩子,估客
贩子,商人
梵衲,沙门
梵学,佛学
梵宇,佛寺
方案,计划
方便,便利
方便,利便
方便,轻易
方才,刚才
方才,刚刚
方寸已乱,心慌意乱
方单,地契
方法,办法
方法,方式
方方面面,各个方面
方剂,丹方
方剂,方子
方巾气,道学味
方士,术士
方式,方法
方式,体例
方式,体式格局
方向,标的目的
方向,偏向
方兴未艾,方兴日盛
方兴未艾,如日中天
方兴未艾,旭日东升
方兴未艾,蒸蒸日上
方丈,住持
方丈和尚,当家和尚
方正,朴直
方子,方剂
芳华,青春
芳香,芬芳
芳泽,芗泽
防备,防范
防备,防御
防备,防止
防备,贯注
防备,戒备
防备,抗御
防备,预防
防地,防线
防范,防备
防范,提防
防寒,御寒
防患未然,及早防备
防患未然,未雨绸缪
防患未然,有备无患
防守,防卫
防守,戍守
防线,防地
防御,进攻
防止,避免
妨碍,妨害
妨碍,故障
妨碍,阻碍
妨害,波折
妨害,妨碍
房东,房主
房客,佃农
房契,宅券
房钱,租金
房屋,衡宇
房主,房东
房子,屋子
仿单,说明书
仿佛,恍如
仿佛,似乎
仿造,仿制
仿照,模仿
仿制,仿造
访古寻幽,探寻胜迹
访候,拜望
访拿,跴缉
访拿,踩缉
访问,拜访
访问,拜候
访问,会见
访问,接见
放大,缩小
放荡,放肆放任
放荡,放纵
放荡,汗漫
放荡,狂放
放荡不羁,放荡任气
放荡任气,放荡不羁
放工,下班
放虎归山,养虎遗患
放火,纵火
放开,铺开
放开,摊开
放慢,加快
放弃,保持
放弃,摒弃
放弃,废弃
放弃,抛却
放晴,转晴
放任,听任
放任自流,任其自然
放手,罢休
放手,放胆
放手,撒手
放手,甩手
放手,松手
放肆,猖獗
放肆,猖狂
放肆,大肆
放肆,放纵
放肆,豪恣
放肆荒唐,胡天胡地
放松,抓紧
放松一下,轻松一下
放下屠刀,改邪归正
放下屠刀,痛改前非
放心,安心
放心,担心
放心,定心
放心,宁神
放学,下学
放言高论,高谈阔论
放言高论,夸夸其言
放洋,出洋
放逐,流放
放纵,放肆
放纵,纵容
飞奔,飞驰
飞必冲天,平地一声雷
飞驰,奔驰
飞驰,飞奔
飞短流长,风言风语
飞短流长,流言蜚语
飞蛾扑火,自取灭亡
飞行,遨游飞翔
飞行,飞翔
飞行,航行
飞黄腾达,青云直上
飞禽,走兽
飞腾,飞扬
飞腾,高涨
飞舞,飘动
飞翔,翱翔
飞翔,飞行
飞翔,飞舞
飞扬跋扈,作威作福
飞跃,奔腾
非常,很是
非常,极度
非常,十分
非常,特别很是
非常,异常
非但,不但
非法,不法
非法,合法
非凡,不凡
非凡,特殊
非命,横死
非难,驳诘
非难,谴责
非难,责难
非亲非故,息息相关
非死即伤,不死即伤
菲薄,肤浅
菲薄,浮浅
菲薄,绵薄
菲薄,微薄
菲薄单薄,微薄
菲敬,菲仪
菲林,胶卷
菲仪,菲敬
菲酌,薄酌
蜚短流长,闲言闲语
蜚言,浮言
肥胖,瘦削
肥饶,肥沃
肥沃,肥美
肥沃,肥饶
肥皂,番笕
肥壮,瘦弱
匪徒,强盗
匪贼,强盗
诽谤,诋毁
诽谤,毁谤
诽谤,离间
诽谤,中伤
诽语,谗言
吠影吠声,随声附和
肺腑之言,花言巧语
废除,拔除
废除,撤废
废除,废弃
废除,破除
废除,取销
废话,空话
废话连篇,言之无物
废料,废物
废弃,放弃
废弃,烧毁
废寝忘食,夜以继日
废物,废料
废止,废除
沸水,滚水
费解,隐晦
费尽唇舌,唇焦舌敝
费尽唇舌,舌敝唇焦
费尽心机,化尽心血
费尽心机,久有存心
费尽心机,千方百计
费尽心机,想方设法
费尽心血,处心积虑
费尽心血,呕心沥血
费尽心血,煞费苦心
费尽心血,挖空心思
费劲,费力
费力,吃力
费力,艰苦
费力,辛苦
费钱,花钱
费神,费心
费神,劳神
费心,操心
费心,费神
费用,用度
分崩离析,四分五裂
分崩离析,土崩瓦解
分崩离析,支离破碎
分辨,分辩
分辨差别,分别辨别
分辩,辩白
分辩,分辨
分别,辨别
分别,别离
分别,分离
分别,划分
分别,离别
分别辨别,分辨差别
分布,散布
分成,分红
分担,分管
分道扬镳,各奔前程
分高下,定胜败
分高下,决雌雄
分割,联系
分割,朋分
分管,分担
分毫不爽,一点不错
分家,分炊
分家,分爨
分家,分居
分解,分化
分居,分家
分开,分隔
分开,分隔隔离分散
分开,离开
分离,别离
分离,分别
分离,分手
分离,离散
分离,星散
分量,份量
分量,重量
分列,排列
分裂,割裂
分裂,决裂
分裂,盘据
分泌,排泄
分娩,临蓐
分秒必争,争分夺秒
分明,清楚
分内,分外
分内,份内
分派,分拨
分派,分配
分配,分派
分歧,不合
分散,分离
分散,涣散
分散,疏散
分身,兼顾
分身,两全
分身不暇,分身乏术
分身乏术,分身不暇
分手,分别
分说,分辩
分庭抗礼,平起平坐
分外,额外
分外,格外
分外,特别
分文不取,一钱不受
分析,阐发
分析,阐明
分析,剖析
分心,专心
分子,份子
芬芳,芳香
吩咐,叮咛
吩咐,付托
吩咐,交托
吩咐,嘱咐
纷繁,纷纷
纷纷,纷繁
纷纷,纷纭
纷乱,缭乱
纷歧,不一
纷纭,纷繁
纷纭,纷纷
纷至沓来,接连不断
纷至沓来,接踵而至
氛围,空气
氛围,气氛
坟场,墓地
坟墓,宅兆
焚膏继晷,通宵达旦
焚劫,焚掠
焚掠,焚劫
焚琴煮鹤,大煞风景
焚杀,屠烧
焚烧,燃烧
粉墨登场,袍笏登场
粉身碎骨,肝脑涂地
粉身碎骨奋不顾身,肝脑涂地
粉饰,点缀
粉饰,润饰藻饰
粉饰,梳妆化妆
粉饰,掩饰
粉碎,破坏
粉碎,破碎摧毁
份量,分量
份内,分内
份子,分子
奋不顾身,不屈不挠
奋不顾身,贪生怕死
奋斗,斗争
奋发,发奋
奋发,高昂
奋发,振奋
奋发蹈厉,奋发图强
奋发蹈厉,奋发自强
奋发图强,蹈厉奋发
奋发图强,奋发蹈厉
奋发图强,奋发向上
奋发图强,自暴自弃
奋起直追,踌躇不前
奋起直追,急起直追
奋起直追,迎头赶上
奋勇当先,奋勇争先
奋勇当先,一马当先
奋勇争先,奋勇当先
忿忿,愤愤
忿恨,愤恨
愤愤,忿忿
愤愤不平,平心静气
愤恨,仇恨
愤恨,愤怒
愤恨,恼恨
愤慨,气愤
愤懑,愤激
愤懑,怫郁
愤怒,愤恨
愤怒,愤慨
愤怒,恼怒
愤怒,气忿
愤怒,气愤
丰采,神姿
丰产,丰登
丰产,丰收
丰登,丰收
丰度,品貌
丰富,丰厚
丰富,丰硕
丰富,富厚
丰富,厚实
丰富,雄厚
丰功伟绩,劳苦功高
丰厚,丰富
丰满,饱满
丰年,康年
丰年,乐岁
丰年,熟年
丰饶,富饶
丰盛,丰富
丰盛,丰厚
丰收,丰产
丰收,歉收
丰硕,丰富
丰硕,丰盛
丰衣足食,饥寒交迫
丰衣足食,人给家足
丰裕,充盈
丰姿,风姿
风波,风浪
风波,风云
风采,风度
风采,风范
风采,风貌
风尘仆仆,露宿风餐
风驰电掣,迅雷不及掩耳
风驰电掣,追风逐电
风度,风姿
风度翩翩,风姿潇洒
风帆,帆船
风范,风采
风范,风仪
风格,气概
风格,气势派头
风格,作风
风光,风景
风行,流行
风行,盛行
风行一时,不胫而走
风行一时,风靡一时
风号浪吼,风高浪急
风景,风光
风景,风物
风景,光景
风景,景色
风景,景物
风景,景致
风静,风止
风卷残云,狼吞虎咽
风浪,风波
风凉,凉快
风流,风骚
风马不接,风马牛不相及
风马牛不相及,风马不接
风马牛不相及,风马牛不相干
风貌,风采
风貌,面貌
风靡,风行
风靡云涌,风靡云蒸
风靡云蒸,风靡云涌
风平浪静,海不扬波
风平浪静,河清海晏
风平浪静,惊涛骇浪
风起云涌,如火如荼
风气,风尚
风气,习尚
风趣,滑稽
风趣,幽默
风趣,有趣
风骚,风流
风扇,电扇
风尚,风气
风声鹤唳,草木皆兵
风俗,风气
风俗,风尚
风俗,习惯
风俗,习俗
风瘫,疯瘫
风闻,传闻
风物,风景
风物,景物
风雅,大雅
风雅,精致
风言风语,飞短流长
风言风语,流言蜚语
风雨飘摇,摇摇欲坠
风雨同舟,和衷共济
风雨同舟,同舟共济
风韵,风度
风韵,风味
风筝,鹞子
风止,风静
风致,品格
风烛残年,行将就木
风姿,风度
风姿,风韵
风姿潇洒,风度翩翩
封闭,封锁
封闭,关闭
封爵,册封
封锁,封闭
疯颠,疯癫
疯癫,疯颠
疯狂,猖狂
疯瘫,风瘫
烽火,烽烟
烽火,狼烟
锋利,尖利
锋利,尖锐
锋利,厉害
锋利,锐利
锋芒,锋铓
锋芒,矛头
锋芒毕露,崭露头角
锋铓,锋芒
蜂拥,簇拥
逢场作戏,偶一为之
逢凶化吉,绝处逢生
逢迎,巴结
逢迎,奉承
逢迎,迎合
缝补,补缀
缝扣子,钉扣子
缝隙,裂缝
讽刺,嘲讽
讽刺,嘲笑
讽刺,嗤笑
讽刺,讥嘲
讽刺,讥刺
讽刺,讥讽
讽刺,讥笑
讽刺,取笑
讽刺,讪笑
讽刺,挖苦
凤毛麟角,百里挑一
奉承,阿谀
奉告,告诉
奉公守法,安分守己
奉还,归还
奉行故事,遵守习惯
奉命,受命
奉命,衔命
奉劝,规劝
奉劝,劝告
奉劝,劝说
奉上,送上
奉送,馈送
奉送,馈遗
奉送,馈赠
奉送,赠给
奉送,赠送
奉献,贡献
奉养,服侍
奉养,赡养
奉养,侍奉
奉养,伺候
奉迎,凑趣儿
佛教,释教
佛口蛇心,刀头之蜜
佛门,空门
佛寺,梵刹
佛寺,梵宇
佛学,梵学
否定,否认
否极必泰,剥极必复
否极泰来,枯木逢春
否认,否定
否则,不然
夫倡妇随,夫唱妇随
夫唱妇随,比翼双飞
夫唱妇随,鹿车共挽
夫妇,佳耦
夫妇,伉俪
夫妇,配偶
夫妇,匹俦
夫君,良人
夫君,男子
夫君,外子
夫役,脚夫
夫役,苦力
夫役,挑夫
肤见,浅见
肤浅,浮浅
肤浅,浅薄
敷衍,对付
敷衍,马虎
敷衍,塞责
敷衍,唐塞
敷衍,搪塞
敷衍了事,敷衍塞责
敷衍了事,马马虎虎
伏法,伏诛
伏法,受刑
伏枥老骥,归隐志士
伏枥守株,乐道安贫
伏莽,盗匪
伏祈,伏乞
伏乞,伏祈
伏侍,服事
伏输,服输
伏羲,宓羲
伏诛,伏法
伏罪,服罪
扶病,抱病
扶持,搀扶
扶携提拔,提携
扶养,抚养
扶养,供养
扶摇直上,百尺竿头
扶摇直上,青云直上
扶引,导引
扶植,拔擢
扶植,培植
扶助,搀扶帮助
扶助,扶直
拂尘,布掸子
拂尘,接风
拂面,掠面
拂拭,扫除
拂晓,黎明
拂晓,破晓
拂袖,拂衣
拂衣,拂袖
服从,从命
服从,功用
服从,坚守
服从,恪守
服从,屈服
服从,听从
服从,听命
服从,效率
服从,效用
服从,遵从
服从,遵命
服从,遵守
服毒,仰药
服法,吃法
服气,信服
服事,伏侍
服侍,奉侍
服侍,奉养
服侍,伺候
服饰,衣饰
服输,伏输
服帖,帖服
服务,办事
服务,效劳
服役,退役
服膺,谨记
服罪,伏罪
怫然作色,勃然变色
浮薄,佻达
浮荡,飘荡
浮泛,空洞
浮光掠影,走马看花
浮滑,轻薄
浮滑,轻浮
浮滑,轻狂
浮家泛宅,水上人家
浮夸,夸张
浮夸,朴实
浮名,坏话
浮名,空名
浮名,谰言
浮名,流言
浮名,虚名
浮皮蹭痒,浮皮潦草
浮皮潦草,浮皮蹭痒
浮浅,肤浅
浮浅,浅薄
浮水衣,救生衣
浮图,宝塔
浮图,浮屠
浮屠,浮图
浮现,显现
浮言,蜚言
浮躁,急躁
符合,合适
符合,契合
符合,吻合
符合,相符
幅员,版图
辐凑,辐辏
辐辏,辐凑
福分,福气
福份,福分
福气,福分
福气,福泽
福寿膏,阿芙蓉
福寿绵绵,福寿绵长
福寿绵绵,福寿无疆
福寿绵长,福寿绵绵
抚躬自问,扪心自问
抚摸,抚摩
抚琴,操琴
抚玩,观赏
抚玩,赏玩
抚慰,安抚
抚慰,安慰
抚慰,宽慰
抚慰,劝慰
抚心,扪心
抚养,扶养
抚养,抚育
抚育,抚养
拊膺切齿,怒发冲冠
拊膺切齿,怒火万丈
拊膺切齿,怒火中烧
拊膺切齿,怒气冲天
斧正,赐正
斧正,匡正
斧正,示正
斧正,指正
府上,贵寓
府上,尊府
俯冲,爬升
俯拾地芥,俯拾即是
俯拾地芥,如拾草芥
俯视,仰望
俯首,昂首
俯首帖耳,俯首听命
俯首贴耳,唯命是从
俯首听命,俯首帖耳
俯首听命,桀骜不驯
俯仰由人,寄人篱下
俯仰由人,仰人鼻息
釜中游鱼,釜中之鱼
釜中鱼,俎上肉
釜中之鱼,釜中游鱼
辅导,教导
辅导,指点
辅音,子音
辅助,帮助
辅助,辅佐
腐败,败北
腐败,凋射
腐败,腐化
腐败,腐烂
腐败,腐朽
腐败,溃烂
腐败,糜烂
腐败,靡烂
腐化,堕落
腐化,腐蚀
腐化,蜕化
腐烂,腐臭
腐烂,腐朽
腐烂,糜烂
腐儒,冬烘
腐蚀,腐化
腐蚀,侵蚀
腐朽,陈旧迂腐
腐朽,腐败
父（母）丧,丁忧
父老,长者
父母,怙恃
父母官,地方官
父执,世伯
付出,支出
付出,支付
付托,吩咐
付与,赋予
付与,授予
付之一笑,一笑置之
付梓,排印
负担,承担
负担,承当
负担,担负
负担,肩负
负担,累赘
负疚,抱歉
负气,斗气
负气,赌气
负气,生气
负气,使气
负伤,挂彩
负伤,挂花
负数,正数
负心,亏心
负薪救火,扬汤止沸
负隅顽抗,垂死挣扎
负隅顽抗,负嵎顽抗
负嵎顽抗,负隅顽抗
负约,误期
负责,担任
负债,欠债
妇检,妇科体检
妇科病,妇科疾病
妇科疾病,妇科病
妇科体检,妇检
妇孺皆知,家喻户晓
附和,拥护
附和,赞同
附会,傅会
附近,邻近
附近,四周
附近,左近
附丽,依附
附属,从属
附属,隶属
赴任,到差
赴任,接事
赴任,履新
赴汤蹈火,冲锋陷阵
赴汤蹈火,出生入死
赴汤蹈火,粉身碎骨
赴汤蹈火,粉身碎骨奋不顾身
赴汤蹈火,历尽艰险
复电,来电
复工,停工
复活,复生
复活,回生
复活,新生
复交,断交
复旧,复古
复刊,停刊
复课,停课
复生,复活
复生,回生
复书,答信
复书,覆信
复书,回信
复数,单数
复苏,苏醒
复习,温习
复线,单线
复信,覆信
复兴,回复
复兴,中兴
复学,休学
复原,恢复
复原,回复复兴
复杂,庞杂
复辙,覆辙
副本,正本
副册,正册
副角,配角
副品,正品
副作用,反作用
赋税,钱粮
赋闲,失业
赋与,赋予
赋予,付与
傅会,附会
富贵,贫贱
富贵荣华,功名利禄
富厚,丰富
富家,大族
富家,巨室
富可敌国,金玉满堂
富矿,贫矿
富丽,都丽
富丽,华丽
富丽,丽都
富丽,绮丽
富丽,雄壮
富强,贫弱
富强,强盛
富饶,丰饶
富饶,富裕
富人,穷人
富商,巨贾
富商,殷商
富翁,财主
富余,充裕
富裕,充裕
富裕,敷裕
富裕,富有
富裕,富足
